"an,æ n"
"and,æ n d"
"angry,?æ ? ? r i"
"animal,?æ n ? m l?"
"another,? ?n ? ð ?"
"answer,??? n s ?"
"any,?? n i"
"anybody,?? n i ?b ? d i"
"anything,?? n i ? ? ?"
"anywhere,?? n i w e?"
"apartment,? ?p ?? t m ? n t"
"appear,? ?p ??"
"apple,?æ p l?"
"are,??"
"area,?e? r i ?"
"arm,?? m"
"army,??? m i"
"around,? ?r a? n d"
"arrive,? ?r a? v"
"art,?? t"
"article,??? t ? k l?"
"artist,??? t ? s t"
"as,æ z"
"ask,?? s k"
"at,æ t"
"attack,? ?t æ k"
"attention,? ?t ? n ? n?"
"aunt,?? n t"
"author,??? ? ?"
"autumn,??? t ? m"
"available,? ?v e? l ? b l?"
"away,? ?w e?"
"awful,??? f l?"
"baby,?b e? b i"
"back,b æ k"
"bad,b æ d"
"bag,b æ ?"
"ball,b ?? l"
"banana,b ? ?n ?? n ?"
"bank,b æ ? k"
"bath,b ?? ?"
"bathroom,?b ?? ? r ? m"
"be,b i?"
"beach,b i? t?"
"bear,b e?"
"beautiful,?b j u? t ? f ? l"
"because,b ? ?k ? z"
"become,b ? ?k ? m"
"bed,b ? d"
"bedroom,?b ? d r ? m"
"beer,b ??"
"before,b ? ?f ??"
"begin,b ? ?? ? n"
"behind,b ? ?h a? n d"
"believe,b ? ?l i? v"
"bell,b ? l"
"below,b ? ?l o?"
"beside,b ? ?s a? d"
"best,b ? s t"
"better,?b ? t ?"
"between,b ? ?t w i? n"
"big,b ? ?"
"bike,b a? k"
"bird,b ?? d"
"birthday,?b ?? ? d e?"
"bit,b ? t"
"black,b l æ k"
"blood,b l ? d"
"blue,b l u?"
"boat,b o? t"
"body,?b ? d i"
"book,b ? k"
"both,b o? ?"
"bottle,?b ? t l?"
"box,b ? k s"
"boy,b ??"
"bread,b r ? d"
"break,b r e? k"
"breakfast,?b r ? k f ? s t"
"bring,b r ? ?"
"brother,?b r ? ð ?"
"brown,b r a? n"
"build,b ? l d"
"building,?b ? l d ? ?"
"bus,b ? s"
"business,?b ? z n ? s"
"busy,?b ? z i"
"but,b ? t"
"buy,b a?"
"by,b a?"
"cake,k e? k"
"call,k ?? l"
"camera,?k æ m r ?"
"can,k æ n"
"car,k ??"
"card,k ?? d"
"care,k e?"
"careful,?k e? f ? l"
"carry,?k æ r i"
"cat,k æ t"
"catch,k æ t?"
"cellphone,?s ? l f o? n"
"center,?s ? n t ?"
"chair,t? e?"
"change,t? e? n d?"
"cheap,t? i? p"
"check,t? ? k"
"child,t? a? l d"
"children,?t? ? l d r ? n"
"choice,t? ?? s"
"choose,t? u? z"
"city,?s ? t i"
"class,k l ?? s"
"classroom,?k l ?? s r ? m"
"clean,k l i? n"
"clear,k l ??"
"clock,k l ? k"
"close,k l o? z"
"clothes,k l o? ð z"
"cloud,k l a? d"
"coat,k o? t"
"coffee,?k ? f i"
"cold,k o? l d"
"college,?k ? l ? d?"
"color,?k ? l ?"
"come,k ? m"
"common,?k ? m ? n"
"company,?k ? m p ? n i"
"complete,k ? m ?p l i? t"
"computer,k ? m ?p j u? t ?"
"consider,k ? n ?s ? d ?"
"continue,k ? n ?t ? n j u?"
"control,k ? n ?t r o? l"
"cook,k ? k"
"cool,k u? l"
"copy,?k ? p i"
"corner,?k ?? n ?"
"correct,k ? ?r ? k t"
"cost,k ? s t"
"could,k ? d"
"country,?k ? n t r i"
"course,k ?? s"
"cousin,?k ? z n?"
"cover,?k ? v ?"
"cow,k a?"
"cream,k r i? m"
"credit,?k r ? d ? t"
"cross,k r ? s"
"crowd,k r a? d"
"cry,k r a?"
"cup,k ? p"
"cut,k ? t"
"dad,d æ d"
"dance,d ?? n s"
"danger,?d e? n d? ?"
"dark,d ?? k"
"date,d e? t"
"daughter,?d ?? t ?"
"day,d e?"
"dead,d ? d"
"deal,d i? l"
"dear,d ??"
"death,d ? ?"
"decide,d ? ?s a? d"
"deep,d i? p"
"degree,d ? ?? r i?"
"desk,d ? s k"
"develop,d ? ?v ? l ? p"
"dialogue,?d a? ? l ? ?"
"did,d ? d"
"die,d a?"
"different,?d ? f r ? n t"
"difficult,?d ? f ? k ? l t"
"dinner,?d ? n ?"
